"","age","parent","single","seeingfriends","household","accomplishment","entertainment","family","time","general","food"
"1",48,1,0,1,0,0,0,0,0,0,0
"4",37,1,0,0,0,0,1,0,0,0,0
"5",29,1,0,0,1,0,0,0,0,0,0
"7",41,1,0,0,0,1,0,0,0,0,0
"10",25,0,1,0,0,1,0,0,0,0,0
"11",65,0,0,0,0,1,0,0,0,0,0
"12",21,0,1,0,0,0,0,0,0,0,1
"15",25,1,0,0,0,0,0,0,0,0,1
"16",44,0,1,0,0,0,0,0,1,0,0
"17",34,0,1,0,0,0,0,0,0,1,0
"18",33,0,1,0,1,0,0,0,0,0,0
"19",29,0,0,0,1,0,0,0,0,0,0
"20",54,1,0,0,0,0,1,0,0,0,0
"22",37,0,1,1,0,0,0,0,0,0,0
"27",27,1,0,0,0,0,0,1,0,0,0
"28",46,1,0,0,0,0,0,0,0,1,0
"29",62,0,1,0,0,1,0,0,0,0,0
"30",48,1,0,0,0,0,1,0,0,0,0
"31",35,0,0,0,0,0,0,1,0,0,0
"36",47,0,1,0,0,0,1,0,0,0,0
"42",38,0,1,0,0,0,0,0,0,1,0
"43",45,1,0,0,0,0,1,0,0,0,0
"44",59,0,1,0,0,0,1,0,0,0,0
"46",29,0,1,0,0,0,0,1,0,0,0
"47",56,0,0,0,0,0,1,0,0,0,0
"49",43,0,0,0,0,0,1,0,0,0,0
"53",37,1,0,0,1,0,0,0,0,0,0
"57",41,0,1,0,1,0,0,0,0,0,0
"58",50,0,0,0,0,0,0,0,0,0,1
"59",61,0,1,0,0,0,1,0,0,0,0
"60",29,0,1,0,0,0,0,0,0,0,1
"63",21,0,1,0,0,0,0,0,0,0,1
"64",70,1,0,0,0,0,0,0,0,0,1
"66",56,0,1,0,0,1,0,0,0,0,0
"67",62,1,0,0,0,0,0,0,0,0,1
"68",48,1,1,0,0,0,0,1,0,0,0
"73",50,1,0,0,0,0,0,0,0,0,1
"77",29,0,1,0,0,0,0,1,0,0,0
"78",27,1,0,0,1,0,0,0,0,0,0
"82",80,0,1,1,0,0,0,0,0,0,0
"83",33,0,1,0,0,1,0,0,0,0,0
"84",38,1,0,0,0,0,1,0,0,0,0
"86",25,0,1,0,0,1,0,0,0,0,0
"87",45,0,1,0,0,0,0,0,0,0,1
"88",66,1,0,0,0,0,0,1,0,0,0
"89",45,0,1,0,0,0,0,0,0,0,1
"90",37,1,0,0,1,0,0,0,0,0,0
"91",29,0,1,0,0,0,0,0,0,0,1
"92",82,1,0,0,0,0,0,0,0,0,1
"93",43,1,1,0,0,0,0,1,0,0,0
"94",27,0,1,0,0,0,0,0,0,0,1
"95",47,1,0,0,0,1,0,0,0,0,0
"97",29,0,1,0,0,1,0,0,0,0,0
"98",42,1,0,0,0,1,0,0,0,0,0
"99",49,0,1,0,0,1,0,0,0,0,0
"100",41,1,0,0,1,0,0,0,0,0,0
"103",23,1,1,1,0,0,0,0,0,0,0
"105",41,1,0,0,0,0,1,0,0,0,0
"106",62,1,0,0,0,0,0,1,0,0,0
"107",47,1,1,0,0,1,0,0,0,0,0
"108",23,0,1,0,0,0,0,1,0,0,0
"112",71,1,0,0,1,0,0,0,0,0,0
"114",41,1,0,0,0,0,0,0,0,0,1
"118",41,0,1,1,0,0,0,0,0,0,0
"122",37,0,1,0,0,0,0,0,1,0,0
"123",29,0,1,0,0,0,1,0,0,0,0
"124",27,0,1,0,1,0,0,0,0,0,0
"126",41,1,0,0,1,0,0,0,0,0,0
"128",21,0,1,0,0,0,1,0,0,0,0
"129",21,0,1,0,0,0,0,0,0,1,0
"130",39,1,0,0,1,0,0,0,0,0,0
"131",37,0,1,0,0,0,1,0,0,0,0
"133",54,0,1,0,0,0,1,0,0,0,0
"134",47,0,1,0,0,0,0,1,0,0,0
"137",28,0,0,0,0,0,0,1,0,0,0
"139",34,1,0,0,0,0,0,0,0,1,0
"141",44,0,1,0,0,0,0,0,0,0,1
"143",30,1,0,0,1,0,0,0,0,0,0
