"","age","parent","single","seeingfriends","household","accomplishment","entertainment","family","time","general","food"
"145",29,0,1,0,0,0,0,1,0,0,0
"147",35,0,1,0,0,0,1,0,0,0,0
"148",54,1,0,0,0,0,0,0,0,1,0
"151",27,0,1,0,1,0,0,0,0,0,0
"152",34,1,0,0,0,0,0,0,0,0,1
"153",84,1,0,0,0,0,0,1,0,0,0
"154",37,0,0,0,0,0,0,0,0,1,0
"156",69,0,0,0,0,1,0,0,0,0,0
"160",47,1,0,0,0,0,0,1,0,0,0
"161",80,1,0,0,0,0,0,1,0,0,0
"165",33,1,0,0,0,0,0,0,1,0,0
"166",82,0,1,0,0,0,1,0,0,0,0
"167",41,0,1,0,0,0,0,0,0,0,1
"168",27,0,1,0,0,1,0,0,0,0,0
"169",29,0,1,0,1,0,0,0,0,0,0
"171",35,0,0,1,0,0,0,0,0,0,0
"174",35,1,0,0,0,1,0,0,0,0,0
"176",24,1,0,0,1,0,0,0,0,0,0
"177",22,0,1,1,0,0,0,0,0,0,0
"178",49,1,0,1,0,0,0,0,0,0,0
"180",43,0,1,0,0,1,0,0,0,0,0
"181",63,1,0,0,0,0,0,0,0,0,1
"184",72,1,0,0,0,1,0,0,0,0,0
"185",45,0,1,0,0,1,0,0,0,0,0
"186",62,1,1,0,1,0,0,0,0,0,0
"189",39,1,0,0,0,1,0,0,0,0,0
"193",28,0,1,1,0,0,0,0,0,0,0
"194",23,0,1,0,0,0,0,1,0,0,0
"195",33,0,1,0,0,0,0,0,0,1,0
"196",33,1,0,0,1,0,0,0,0,0,0
"197",19,0,1,0,0,1,0,0,0,0,0
"198",49,1,0,0,0,0,0,0,1,0,0
"199",35,0,1,0,0,0,0,0,0,1,0
"202",20,0,1,0,0,0,0,1,0,0,0
"203",24,0,1,0,0,1,0,0,0,0,0
"204",33,0,1,0,1,0,0,0,0,0,0
"205",82,1,0,0,0,0,0,1,0,0,0
"207",58,0,0,1,0,0,0,0,0,0,0
"208",65,0,1,0,1,0,0,0,0,0,0
"209",28,0,1,1,0,0,0,0,0,0,0
"210",23,0,1,0,0,0,0,0,1,0,0
"211",25,0,1,0,0,0,0,1,0,0,0
"212",19,0,1,0,0,0,0,1,0,0,0
"213",33,1,0,0,1,0,0,0,0,0,0
"217",62,1,1,0,0,0,0,0,1,0,0
"219",39,1,0,0,0,0,0,0,0,1,0
"225",21,0,1,0,0,0,1,0,0,0,0
"226",38,0,1,0,0,0,0,0,0,0,1
"229",43,0,1,0,1,0,0,0,0,0,0
"230",41,0,1,0,0,0,0,1,0,0,0
"231",52,1,1,1,0,0,0,0,0,0,0
"233",24,0,1,0,0,0,0,0,1,0,0
"234",22,0,1,0,0,0,1,0,0,0,0
"240",33,0,1,0,0,0,0,1,0,0,0
"241",19,1,1,0,0,0,1,0,0,0,0
"242",41,0,0,0,1,0,0,0,0,0,0
"243",24,0,1,0,0,0,0,0,0,0,1
"244",35,1,0,0,0,0,0,0,0,0,1
"245",40,1,0,1,0,0,0,0,0,0,0
"246",29,0,0,0,0,0,1,0,0,0,0
"248",34,0,0,0,0,1,0,0,0,0,0
"250",60,1,0,0,0,0,0,0,0,0,1
"253",38,0,1,1,0,0,0,0,0,0,0
"254",29,0,1,1,0,0,0,0,0,0,0
"255",19,0,1,0,0,1,0,0,0,0,0
"256",21,0,0,1,0,0,0,0,0,0,0
"258",45,0,1,0,0,0,0,0,1,0,0
"260",37,1,0,0,0,1,0,0,0,0,0
"262",23,0,1,0,0,0,0,0,0,0,1
"265",47,1,0,0,0,0,1,0,0,0,0
"267",29,0,0,1,0,0,0,0,0,0,0
"269",27,0,1,0,0,1,0,0,0,0,0
"271",46,1,0,0,0,0,1,0,0,0,0
"272",27,1,1,0,1,0,0,0,0,0,0
"273",67,0,0,0,0,1,0,0,0,0,0
"274",38,0,1,1,0,0,0,0,0,0,0
"275",49,0,1,0,0,0,0,0,1,0,0
"277",35,0,1,0,0,1,0,0,0,0,0
"278",34,0,1,0,1,0,0,0,0,0,0
"279",25,0,1,1,0,0,0,0,0,0,0
"281",22,0,1,0,0,1,0,0,0,0,0
"283",49,1,0,0,0,1,0,0,0,0,0
"284",41,0,1,0,0,0,0,0,0,1,0
"285",60,0,1,0,0,0,0,0,0,1,0
"286",20,0,1,0,1,0,0,0,0,0,0
"287",44,1,1,1,0,0,0,0,0,0,0
"295",41,0,1,0,1,0,0,0,0,0,0
"296",19,0,1,0,0,0,0,0,0,1,0
"297",82,1,0,0,0,0,0,0,0,0,1
"298",24,0,1,0,0,0,0,0,0,0,1
"300",39,1,0,0,0,0,1,0,0,0,0
"301",57,1,0,0,0,0,0,0,0,1,0
"302",21,0,1,1,0,0,0,0,0,0,0
"303",25,0,1,0,0,0,0,0,0,0,1
"305",36,0,1,0,0,1,0,0,0,0,0
"306",47,0,1,1,0,0,0,0,0,0,0
"309",19,0,1,0,0,0,1,0,0,0,0
"311",25,0,1,0,1,0,0,0,0,0,0
"312",63,1,0,0,1,0,0,0,0,0,0
"314",39,0,0,0,0,0,1,0,0,0,0
"318",62,1,0,0,0,0,0,0,0,0,1
"319",56,1,0,0,0,0,0,0,0,0,1
"320",52,0,1,0,1,0,0,0,0,0,0
"323",29,0,0,0,0,0,0,0,0,1,0
"325",41,0,1,0,0,0,0,0,1,0,0
"326",45,0,1,0,0,0,0,0,0,0,1
"327",48,1,0,0,0,0,1,0,0,0,0
"328",54,1,0,0,0,0,0,0,1,0,0
"330",76,1,0,1,0,0,0,0,0,0,0
"332",35,1,0,0,1,0,0,0,0,0,0
"333",26,0,1,0,0,0,1,0,0,0,0
"336",49,1,0,0,0,1,0,0,0,0,0
"337",36,0,0,0,0,1,0,0,0,0,0
"338",49,0,1,0,0,0,0,0,0,0,1
"339",37,0,1,0,0,0,0,0,0,0,1
"340",60,1,0,0,0,1,0,0,0,0,0
"342",37,0,1,0,0,0,0,0,0,1,0
"343",49,1,0,0,0,0,0,0,1,0,0
"345",56,1,0,0,1,0,0,0,0,0,0
"349",19,0,1,0,0,0,0,0,0,0,1
"350",46,1,0,0,0,0,1,0,0,0,0
"351",47,0,1,0,0,0,1,0,0,0,0
"353",30,0,1,0,0,0,1,0,0,0,0
"354",24,0,1,0,0,0,0,0,1,0,0
"357",23,0,0,0,0,0,0,1,0,0,0
"359",55,1,0,0,1,0,0,0,0,0,0
"360",35,1,0,0,0,0,0,0,0,1,0
"361",35,0,1,0,0,0,0,0,0,0,1
"365",33,1,0,0,0,0,0,0,0,1,0
"366",41,1,0,0,1,0,0,0,0,0,0
"369",47,0,1,0,0,1,0,0,0,0,0
"371",30,0,1,0,0,0,0,1,0,0,0
"373",23,0,1,0,0,0,0,0,1,0,0
"374",54,0,1,0,0,0,0,1,0,0,0
"375",33,1,0,0,0,0,0,0,0,0,1
"379",79,0,1,0,0,0,0,0,0,0,1
"380",24,0,1,1,0,0,0,0,0,0,0
"381",25,1,0,0,0,0,1,0,0,0,0
"382",37,0,1,0,1,0,0,0,0,0,0
"384",49,0,1,0,0,0,0,0,1,0,0
"385",21,0,1,0,1,0,0,0,0,0,0
"387",39,0,1,1,0,0,0,0,0,0,0
"388",33,0,1,0,0,1,0,0,0,0,0
"390",36,0,1,0,0,0,0,0,0,0,1
"391",45,0,0,0,0,0,0,0,0,0,1
"392",72,1,0,0,0,1,0,0,0,0,0
"393",56,1,0,0,1,0,0,0,0,0,0
"394",20,0,1,0,0,0,0,0,0,0,1
"395",40,0,1,0,0,0,0,0,1,0,0
"397",24,0,1,0,0,0,0,0,1,0,0
"398",29,0,1,0,0,0,1,0,0,0,0
"401",56,0,1,0,1,0,0,0,0,0,0
"402",23,0,0,0,0,1,0,0,0,0,0
"403",35,0,0,0,0,1,0,0,0,0,0
"404",27,0,1,0,0,0,0,0,0,1,0
"405",25,1,1,0,0,0,0,0,0,1,0
"406",27,0,1,0,0,0,0,0,0,1,0
"407",23,0,1,0,1,0,0,0,0,0,0
"408",35,0,1,0,0,0,0,0,0,1,0
"410",29,0,1,0,0,0,1,0,0,0,0
"411",50,1,0,0,0,0,1,0,0,0,0
"413",29,1,0,0,0,0,0,0,0,0,1
"414",29,0,1,0,1,0,0,0,0,0,0
"417",22,0,1,0,0,0,0,0,0,1,0
"418",45,0,0,0,0,0,1,0,0,0,0
"419",54,1,0,0,0,0,0,0,0,1,0
"421",70,0,0,0,0,0,0,1,0,0,0
"422",23,0,1,1,0,0,0,0,0,0,0
"423",30,0,0,0,0,0,1,0,0,0,0
"425",34,0,1,0,1,0,0,0,0,0,0
"430",23,1,0,0,0,0,1,0,0,0,0
"431",29,0,1,1,0,0,0,0,0,0,0
"432",68,1,0,0,0,0,0,1,0,0,0
"433",23,0,1,0,0,0,0,0,1,0,0
"434",45,0,1,0,0,0,1,0,0,0,0
"437",34,0,1,0,0,0,1,0,0,0,0
"440",33,0,1,0,0,0,0,0,1,0,0
"441",30,0,0,0,0,0,0,0,0,0,1
"442",37,0,1,0,0,0,1,0,0,0,0
"443",35,0,1,0,0,0,1,0,0,0,0
"444",38,0,1,0,0,0,1,0,0,0,0
"445",37,0,1,0,0,1,0,0,0,0,0
"447",84,1,0,0,0,0,0,0,0,0,1
"450",51,0,0,0,0,0,0,0,1,0,0
"452",78,1,0,1,0,0,0,0,0,0,0
"453",62,1,0,1,0,0,0,0,0,0,0
"454",33,0,1,0,0,0,0,0,0,1,0
"456",27,0,1,0,0,0,0,0,0,0,1
"457",33,1,1,1,0,0,0,0,0,0,0
"458",41,0,1,0,0,0,0,0,1,0,0
"459",40,0,1,0,0,0,0,0,0,1,0
"462",68,1,0,0,0,0,0,0,0,1,0
"463",73,1,0,0,0,1,0,0,0,0,0
"464",21,0,1,0,0,0,0,1,0,0,0
"467",82,0,1,0,0,0,1,0,0,0,0
"468",54,1,0,0,0,0,0,0,1,0,0
"470",40,1,0,0,1,0,0,0,0,0,0
"471",80,0,1,0,0,1,0,0,0,0,0
"473",48,1,1,1,0,0,0,0,0,0,0
"478",48,1,0,0,0,0,1,0,0,0,0
"479",25,0,1,0,0,0,1,0,0,0,0
"480",45,0,1,0,0,0,0,0,0,0,1
"482",27,0,1,0,0,0,0,1,0,0,0
"484",63,1,0,0,0,0,1,0,0,0,0
"485",28,0,1,0,0,0,0,0,1,0,0
"486",41,1,0,0,0,0,0,0,0,1,0
"492",20,0,1,0,0,1,0,0,0,0,0
"493",52,1,0,0,0,1,0,0,0,0,0
"494",27,0,1,0,0,0,0,0,0,1,0
"495",22,0,1,0,0,1,0,0,0,0,0
"496",72,0,1,1,0,0,0,0,0,0,0
"497",23,0,1,0,0,0,1,0,0,0,0
"499",66,0,1,0,0,0,0,0,1,0,0
"500",19,0,1,0,0,0,0,0,0,1,0
"501",39,1,0,1,0,0,0,0,0,0,0
"504",51,0,1,0,1,0,0,0,0,0,0
"505",21,0,1,0,0,0,1,0,0,0,0
"506",54,1,0,0,1,0,0,0,0,0,0
"508",43,1,0,0,0,1,0,0,0,0,0
"509",35,0,1,0,0,1,0,0,0,0,0
"510",69,0,0,0,1,0,0,0,0,0,0
"513",57,1,0,0,1,0,0,0,0,0,0
"515",41,1,0,0,0,1,0,0,0,0,0
"516",29,1,1,0,0,1,0,0,0,0,0
"517",58,0,1,0,0,0,0,0,1,0,0
"518",20,0,1,0,0,0,0,0,0,1,0
"519",38,0,1,0,0,0,0,0,1,0,0
"521",58,1,0,0,0,1,0,0,0,0,0
"522",27,0,0,0,0,0,0,1,0,0,0
"524",59,1,0,0,0,0,0,0,0,0,1
"525",78,1,0,0,0,0,0,0,0,1,0
"527",43,1,0,0,0,0,0,1,0,0,0
"528",30,1,0,0,0,0,0,0,0,0,1
"531",29,0,0,0,0,1,0,0,0,0,0
"532",18,1,0,0,0,0,0,0,0,0,1
"533",76,0,1,1,0,0,0,0,0,0,0
"534",77,0,0,0,1,0,0,0,0,0,0
"536",42,1,0,0,1,0,0,0,0,0,0
"537",19,0,1,0,0,0,0,0,0,0,1
"541",33,0,0,0,0,0,0,1,0,0,0
"542",78,1,0,0,0,1,0,0,0,0,0
"545",25,1,1,1,0,0,0,0,0,0,0
"546",70,0,1,0,0,0,0,0,1,0,0
"547",27,0,1,0,0,0,1,0,0,0,0
"548",23,0,1,0,0,1,0,0,0,0,0
"550",40,0,1,0,0,0,0,0,1,0,0
"551",29,0,1,0,0,0,1,0,0,0,0
"552",46,1,0,0,0,0,0,0,1,0,0
"554",29,0,1,1,0,0,0,0,0,0,0
"556",49,0,1,0,0,1,0,0,0,0,0
"557",38,0,1,0,0,0,0,0,0,1,0
"558",28,0,1,0,0,0,0,0,0,1,0
"562",29,0,0,1,0,0,0,0,0,0,0
"563",56,0,0,0,0,0,0,0,1,0,0
"565",29,0,1,0,0,0,0,0,0,1,0
"567",43,0,0,0,0,1,0,0,0,0,0
"568",21,1,1,0,0,1,0,0,0,0,0
"571",35,0,1,0,0,0,0,1,0,0,0
"572",79,0,0,0,0,0,0,0,0,0,1
"573",22,0,1,0,0,1,0,0,0,0,0
"574",36,0,0,0,0,0,0,1,0,0,0
"575",25,0,1,0,0,0,0,0,0,0,1
"576",49,1,0,0,0,1,0,0,0,0,0
"577",39,0,0,0,1,0,0,0,0,0,0
"579",24,0,1,0,0,0,1,0,0,0,0
"581",23,0,1,1,0,0,0,0,0,0,0
"582",44,0,1,0,0,1,0,0,0,0,0
"583",22,0,1,0,0,1,0,0,0,0,0
"584",51,1,0,0,0,0,0,1,0,0,0
"587",35,1,0,0,0,0,0,0,1,0,0
"589",34,0,1,0,0,0,0,1,0,0,0
"590",41,0,1,0,0,0,0,1,0,0,0
"591",19,0,1,1,0,0,0,0,0,0,0
"592",41,0,1,0,0,0,0,0,1,0,0
"593",71,1,0,0,0,0,0,0,0,0,1
"594",39,0,0,0,0,0,0,1,0,0,0
"596",29,0,0,0,0,0,1,0,0,0,0
"597",19,1,0,1,0,0,0,0,0,0,0
"599",60,1,0,0,0,1,0,0,0,0,0
"601",37,1,0,0,0,0,0,0,0,1,0
"603",42,1,0,0,1,0,0,0,0,0,0
"604",23,1,0,0,1,0,0,0,0,0,0
"607",26,0,1,0,1,0,0,0,0,0,0
"609",23,0,1,0,0,0,1,0,0,0,0
"611",23,0,1,1,0,0,0,0,0,0,0
"616",37,1,0,0,0,1,0,0,0,0,0
"617",61,1,0,0,0,0,1,0,0,0,0
"618",38,0,1,0,0,0,1,0,0,0,0
"622",45,0,1,0,0,0,0,0,0,0,1
"623",51,0,0,0,0,0,0,0,0,0,1
"624",41,0,1,0,0,0,0,0,0,1,0
"625",56,1,0,0,0,0,1,0,0,0,0
"626",75,1,0,0,0,0,0,0,0,0,1
"627",34,0,0,0,0,0,0,0,1,0,0
"628",82,1,0,1,0,0,0,0,0,0,0
"630",59,1,0,0,0,0,0,0,0,1,0
"631",44,0,1,0,0,1,0,0,0,0,0
"633",40,0,1,0,0,1,0,0,0,0,0
"634",37,0,1,0,0,0,0,0,0,0,1
"635",28,0,1,0,0,0,0,1,0,0,0
"636",19,0,1,0,0,0,1,0,0,0,0
"637",40,0,1,0,0,0,1,0,0,0,0
"638",36,0,0,0,1,0,0,0,0,0,0
"639",26,0,1,0,0,0,0,0,0,0,1
"640",73,1,0,0,1,0,0,0,0,0,0
"641",19,0,1,0,0,0,1,0,0,0,0
"643",35,1,0,0,1,0,0,0,0,0,0
"644",23,0,1,0,0,0,0,0,0,1,0
"645",23,1,0,0,0,0,0,0,0,1,0
"647",51,1,0,0,0,0,0,0,0,0,1
"649",35,0,1,0,0,0,0,0,0,0,1
"650",33,0,0,1,0,0,0,0,0,0,0
"652",42,0,1,0,0,1,0,0,0,0,0
"655",19,0,1,0,0,0,0,0,1,0,0
"656",46,0,0,0,0,0,0,0,0,1,0
"657",29,0,1,0,0,0,0,0,0,0,1
"658",27,0,1,0,0,1,0,0,0,0,0
"659",33,1,1,0,0,0,0,0,0,0,1
"662",79,0,1,0,0,0,0,0,0,1,0
"663",37,1,0,0,0,0,1,0,0,0,0
"667",23,0,1,0,0,0,0,0,0,0,1
"668",45,0,1,0,0,1,0,0,0,0,0
"669",51,0,1,0,0,0,1,0,0,0,0
"670",46,1,0,0,0,0,0,0,0,0,1
"674",23,0,1,0,1,0,0,0,0,0,0
"675",50,1,0,0,0,1,0,0,0,0,0
"676",43,0,1,0,0,1,0,0,0,0,0
"677",71,1,0,0,0,1,0,0,0,0,0
"678",27,0,1,0,0,0,0,1,0,0,0
"679",29,1,0,1,0,0,0,0,0,0,0
"680",23,1,0,0,0,0,0,0,0,0,1
"681",29,1,0,0,0,0,0,0,0,1,0
"683",25,0,1,0,0,0,0,0,0,0,1
"684",24,0,1,0,0,1,0,0,0,0,0
"685",51,1,0,1,0,0,0,0,0,0,0
"686",64,1,0,0,0,0,0,0,0,1,0
"687",25,0,1,0,1,0,0,0,0,0,0
"688",23,0,0,0,0,0,0,1,0,0,0
"690",29,0,1,0,0,1,0,0,0,0,0
"692",57,1,0,0,0,0,0,1,0,0,0
"693",21,1,1,0,0,0,0,0,1,0,0
"695",57,1,0,0,0,1,0,0,0,0,0
"696",43,0,1,0,1,0,0,0,0,0,0
"697",23,0,1,0,1,0,0,0,0,0,0
"701",33,0,0,0,1,0,0,0,0,0,0
"702",29,0,0,0,0,1,0,0,0,0,0
"704",25,0,1,0,0,0,1,0,0,0,0
"706",64,0,0,0,0,1,0,0,0,0,0
"707",24,0,1,0,0,1,0,0,0,0,0
"708",21,0,1,0,0,0,0,0,1,0,0
"710",42,1,0,0,1,0,0,0,0,0,0
"711",45,1,0,0,0,0,0,0,0,1,0
"713",26,0,1,0,1,0,0,0,0,0,0
"714",29,0,1,0,1,0,0,0,0,0,0
"718",37,0,1,0,0,0,0,1,0,0,0
"725",47,1,0,0,0,0,0,0,0,1,0
"727",28,0,1,0,0,1,0,0,0,0,0
"729",35,1,0,0,0,1,0,0,0,0,0
"730",23,0,0,0,1,0,0,0,0,0,0
"733",22,0,0,0,0,0,0,0,0,0,1
"735",60,0,1,0,0,1,0,0,0,0,0
"736",28,1,0,0,0,0,0,0,0,0,1
"741",39,0,1,0,0,0,0,0,0,0,1
"742",21,0,1,0,0,0,1,0,0,0,0
"743",34,1,0,0,0,0,1,0,0,0,0
"744",29,1,0,0,0,0,0,0,0,1,0
"745",27,1,0,0,0,0,0,0,0,1,0
"746",22,0,1,0,0,0,0,1,0,0,0
"747",33,0,1,0,0,0,0,0,1,0,0
"748",26,0,1,0,0,0,1,0,0,0,0
"750",40,1,1,0,1,0,0,0,0,0,0
"752",38,0,1,1,0,0,0,0,0,0,0
"753",60,1,0,0,0,0,0,0,0,0,1
"754",74,0,1,0,0,0,0,0,0,0,1
"755",43,0,0,0,0,0,0,0,1,0,0
"756",34,0,1,0,0,0,0,0,0,0,1
"759",61,1,0,0,0,0,0,1,0,0,0
"760",59,0,0,0,1,0,0,0,0,0,0
"761",43,1,0,0,1,0,0,0,0,0,0
"762",49,0,0,1,0,0,0,0,0,0,0
"764",35,0,0,0,0,0,1,0,0,0,0
"765",34,0,1,1,0,0,0,0,0,0,0
"768",80,1,0,0,0,0,1,0,0,0,0
"769",38,1,0,0,0,0,1,0,0,0,0
"770",80,1,0,0,1,0,0,0,0,0,0
"772",41,1,0,0,0,0,1,0,0,0,0
"774",60,1,0,0,1,0,0,0,0,0,0
"775",24,0,1,0,0,1,0,0,0,0,0
"776",23,0,0,1,0,0,0,0,0,0,0
"778",45,1,0,0,0,1,0,0,0,0,0
"783",25,1,1,0,0,0,1,0,0,0,0
"786",33,0,1,0,0,0,0,0,0,0,1
"787",20,0,1,0,0,0,0,1,0,0,0
"788",29,0,1,0,0,0,0,1,0,0,0
"789",58,0,1,0,0,0,1,0,0,0,0
"791",45,1,0,0,1,0,0,0,0,0,0
"792",27,0,1,0,1,0,0,0,0,0,0
"793",44,1,0,0,1,0,0,0,0,0,0
"794",47,0,1,0,0,0,0,0,1,0,0
"795",46,0,0,0,0,0,0,1,0,0,0
"797",33,0,0,0,1,0,0,0,0,0,0
"798",51,1,0,0,1,0,0,0,0,0,0
"799",19,0,1,1,0,0,0,0,0,0,0
"800",41,0,1,0,0,0,0,0,0,1,0
"801",25,0,1,0,0,1,0,0,0,0,0
"803",27,0,1,0,0,0,0,0,0,1,0
"804",21,0,1,0,0,0,0,0,0,0,1
"805",44,0,1,0,0,0,1,0,0,0,0
"806",23,0,1,1,0,0,0,0,0,0,0
"808",22,0,1,0,0,0,1,0,0,0,0
"809",33,0,0,0,0,0,1,0,0,0,0
"810",21,0,1,0,1,0,0,0,0,0,0
"811",50,1,0,0,0,0,0,0,0,0,1
"813",21,0,1,0,0,0,1,0,0,0,0
"814",74,0,1,0,0,0,0,1,0,0,0
"815",19,0,1,0,0,0,0,0,0,0,1
"816",35,0,1,1,0,0,0,0,0,0,0
"817",29,0,1,0,0,0,0,0,1,0,0
"820",19,0,1,0,0,0,0,0,0,0,1
"822",35,0,0,0,0,0,0,0,0,0,1
"823",27,1,0,1,0,0,0,0,0,0,0
"825",29,0,1,0,0,0,0,0,0,0,1
"826",25,1,1,0,0,0,0,1,0,0,0
"827",22,0,1,0,0,0,1,0,0,0,0
"828",73,0,1,0,0,1,0,0,0,0,0
"830",24,0,1,0,1,0,0,0,0,0,0
"832",68,0,0,0,0,0,0,1,0,0,0
"833",82,1,0,0,1,0,0,0,0,0,0
"834",21,0,0,0,0,0,0,0,0,0,1
"835",33,0,1,0,0,0,0,0,0,0,1
"836",25,1,0,0,0,0,0,0,0,1,0
"838",47,0,1,0,0,0,1,0,0,0,0
"839",56,0,1,0,0,0,0,1,0,0,0
"840",49,1,0,0,0,0,0,0,0,0,1
"841",34,1,0,0,0,0,0,0,1,0,0
"842",25,0,1,0,0,0,1,0,0,0,0
"845",38,1,0,1,0,0,0,0,0,0,0
"846",28,1,1,0,0,0,0,0,1,0,0
"848",33,1,0,0,0,0,1,0,0,0,0
"850",20,0,1,0,1,0,0,0,0,0,0
"853",23,0,1,1,0,0,0,0,0,0,0
"854",29,0,1,0,0,1,0,0,0,0,0
"855",44,1,0,1,0,0,0,0,0,0,0
"857",25,0,1,0,1,0,0,0,0,0,0
"858",23,1,0,0,0,0,1,0,0,0,0
"859",28,1,0,1,0,0,0,0,0,0,0
"860",65,0,1,0,0,0,0,0,0,1,0
"861",25,0,1,0,0,1,0,0,0,0,0
"865",26,0,1,0,0,0,0,0,0,1,0
"866",47,1,0,0,0,0,1,0,0,0,0
"867",27,0,1,0,0,0,0,1,0,0,0
"869",47,1,1,0,0,1,0,0,0,0,0
"870",40,0,1,0,0,0,0,1,0,0,0
"871",21,0,1,0,0,0,0,0,1,0,0
"872",37,0,1,0,0,0,0,0,1,0,0
"873",58,1,0,1,0,0,0,0,0,0,0
"874",45,1,0,0,1,0,0,0,0,0,0
"877",51,0,0,1,0,0,0,0,0,0,0
"878",27,0,1,0,0,0,1,0,0,0,0
"880",21,0,1,0,1,0,0,0,0,0,0
"881",62,0,1,0,1,0,0,0,0,0,0
"882",49,0,0,0,0,0,1,0,0,0,0
"883",52,0,1,0,0,0,0,1,0,0,0
"885",51,1,0,0,0,0,0,1,0,0,0
"886",30,0,1,0,0,0,1,0,0,0,0
"887",44,0,1,0,0,0,0,0,1,0,0
"890",61,1,0,0,0,0,0,1,0,0,0
"892",28,1,0,0,0,1,0,0,0,0,0
"893",37,1,0,0,1,0,0,0,0,0,0
"894",38,1,0,0,0,0,0,0,0,0,1
"895",33,1,0,1,0,0,0,0,0,0,0
"896",43,1,0,0,1,0,0,0,0,0,0
"897",36,0,1,0,0,0,0,0,1,0,0
"898",57,1,1,0,0,0,0,0,0,0,1
"902",39,0,0,0,0,0,0,0,0,0,1
"903",30,0,1,0,0,1,0,0,0,0,0
"906",20,0,1,0,0,0,0,0,0,1,0
"909",29,0,1,0,0,0,0,0,0,1,0
